Frequency,kH,RR(mm/h),aH,A(dB/km),Frequency,kV,RR(mm/h),aV,A(db/km),,INPUT,,,,OUTPUT
17.00,0.0615,50.0000,1.0949,4.4545,17.0000,0.0680,50.0000,1.0137,3.5856,,,,,,
18.00,0.0708,50.0000,1.0818,4.8737,18.0000,0.0771,50.0000,1.0025,3.8919,,,,,,
19.00,0.0808,50.0000,1.0691,5.2966,19.0000,0.0864,50.0000,0.9930,4.2043,,,,,,
20.00,0.0916,50.0000,1.0568,5.7221,20.0000,0.0961,50.0000,0.9847,4.5263,,,,,,
21.00,0.1032,50.0000,1.0447,6.1460,21.0000,0.1063,50.0000,0.9771,4.8596,,,,,,
22.00,0.1155,50.0000,1.0329,6.5682,22.0000,0.1170,50.0000,0.9700,5.2022,,,,,,
23.00,0.1286,50.0000,1.0214,6.9915,23.0000,0.1284,50.0000,0.9630,5.5549,,,,,,
24.00,0.1425,50.0000,1.0101,7.4122,24.0000,0.1404,50.0000,0.9561,5.9122,,,,,,
25.00,0.1571,50.0000,0.9991,7.8274,25.0000,0.1533,50.0000,0.9491,6.2811,,,,,,
26.00,0.1724,50.0000,0.9884,8.2376,26.0000,0.1669,50.0000,0.9421,6.6536,,,,,,
27.00,0.1884,50.0000,0.9780,8.6432,27.0000,0.1813,50.0000,0.9349,7.0269,,,,,,
28.00,0.2051,50.0000,0.9679,9.0448,28.0000,0.1964,50.0000,0.9277,7.4008,,,,,,
29.00,0.2224,50.0000,0.9580,9.4351,29.0000,0.2124,50.0000,0.9203,7.7753,,,,,,
30.00,0.2403,50.0000,0.9485,9.8226,30.0000,0.2291,50.0000,0.9129,8.1473,,,,,,
31.00,0.2588,50.0000,0.9392,10.2009,31.0000,0.2465,50.0000,0.9055,8.5160,,,,,,
32.00,0.2778,50.0000,0.9302,10.5710,32.0000,0.2646,50.0000,0.8981,8.8804,,,,,,
33.00,0.2972,50.0000,0.9214,10.9265,33.0000,0.2833,50.0000,0.8907,9.2367,,,,,,
34.00,0.3171,50.0000,0.9129,11.2768,34.0000,0.3026,50.0000,0.8834,9.5882,,,,,,
35.00,0.3374,50.0000,0.9047,11.6199,35.0000,0.3224,50.0000,0.8761,9.9280,,,,,,
36.00,0.3580,50.0000,0.8967,11.9495,36.0000,0.3427,50.0000,0.8690,10.2641,,,,,,
37.00,0.3789,50.0000,0.8890,12.2718,37.0000,0.3633,50.0000,0.8621,10.5913,,,,,,
38.00,0.4001,50.0000,0.8816,12.5887,38.0000,0.3844,50.0000,0.8552,10.9079,,,,,,
39.00,0.4215,50.0000,0.8743,12.8886,39.0000,0.4058,50.0000,0.8486,11.2217,,,,,,
40.00,0.4431,50.0000,0.8673,13.1831,40.0000,0.4274,50.0000,0.8421,11.5222,,,,,,
41.00,0.4647,50.0000,0.8605,13.4628,41.0000,0.4492,50.0000,0.8357,11.8105,,,,,,
42.00,0.4865,50.0000,0.8539,13.7351,42.0000,0.4712,50.0000,0.8296,12.0968,,,,,,
43.00,0.5084,50.0000,0.8476,14.0040,43.0000,0.4932,50.0000,0.8236,12.3679,,,,,,
44.00,0.5302,50.0000,0.8414,14.2545,44.0000,0.5153,50.0000,0.8179,12.6371,,,,,,
45.00,0.5521,50.0000,0.8355,14.5046,45.0000,0.5375,50.0000,0.8123,12.8959,,,,,,
46.00,0.5738,50.0000,0.8297,14.7366,46.0000,0.5596,50.0000,0.8069,13.1455,,,,,,
47.00,0.5956,50.0000,0.8241,14.9650,47.0000,0.5817,50.0000,0.8017,13.3895,,,,,,
48.00,0.6172,50.0000,0.8187,15.1835,48.0000,0.6037,50.0000,0.7967,13.6267,,,,,,
49.00,0.6386,50.0000,0.8134,15.3876,49.0000,0.6255,50.0000,0.7918,13.8507,,,,,,
50.00,0.6600,50.0000,0.8084,15.5952,50.0000,0.6472,50.0000,0.7871,14.0701,,,,,,
51.00,0.6811,50.0000,0.8034,15.7820,51.0000,0.6687,50.0000,0.7826,14.2838,,,,,,
52.00,0.7020,50.0000,0.7987,15.9700,52.0000,0.6901,50.0000,0.7783,14.4951,,,,,,
53.00,0.7228,50.0000,0.7941,16.1499,53.0000,0.7112,50.0000,0.7741,14.6948,,,,,,
54.00,0.7433,50.0000,0.7896,16.3181,54.0000,0.7321,50.0000,0.7700,14.8860,,,,,,
55.00,0.7635,50.0000,0.7853,16.4820,55.0000,0.7527,50.0000,0.7661,15.0731,,,,,,
56.00,0.7835,50.0000,0.7811,16.6381,56.0000,0.7730,50.0000,0.7623,15.2512,,,,,,
57.00,0.8032,50.0000,0.7771,16.7916,57.0000,0.7931,50.0000,0.7587,15.4290,,,,,,
58.00,0.8226,50.0000,0.7731,16.9302,58.0000,0.8129,50.0000,0.7552,15.5991,,,,,,
59.00,0.8418,50.0000,0.7693,17.0697,59.0000,0.8324,50.0000,0.7518,15.7622,,,,,,
60.00,0.8606,50.0000,0.7656,17.2002,60.0000,0.8515,50.0000,0.7486,15.9233,,,,,,
61.00,0.8791,50.0000,0.7621,17.3310,61.0000,0.8704,50.0000,0.7454,16.0743,,,,,,
62.00,0.8974,50.0000,0.7586,17.4512,62.0000,0.8889,50.0000,0.7424,16.2244,,,,,,
63.00,0.9153,50.0000,0.7552,17.5641,63.0000,0.9071,50.0000,0.7395,16.3698,,,,,,
64.00,0.9328,50.0000,0.7520,17.6772,64.0000,0.9250,50.0000,0.7366,16.5045,,,,,,
65.00,0.9501,50.0000,0.7488,17.7811,65.0000,0.9425,50.0000,0.7339,16.6401,,,,,,
66.00,0.9670,50.0000,0.7458,17.8862,66.0000,0.9598,50.0000,0.7313,16.7740,,,,,,
67.00,0.9836,50.0000,0.7428,17.9810,67.0000,0.9767,50.0000,0.7287,16.8967,,,,,,
68.00,0.9999,50.0000,0.7400,18.0798,68.0000,0.9932,50.0000,0.7262,17.0149,,,,,,
69.00,1.0159,50.0000,0.7372,18.1690,69.0000,1.0094,50.0000,0.7238,17.1308,,,,,,
70.00,1.0315,50.0000,0.7345,18.2542,70.0000,1.0253,50.0000,0.7215,17.2448,,,,,,
71.00,1.0468,50.0000,0.7318,18.3303,71.0000,1.0409,50.0000,0.7193,17.3571,,,,,,
72.00,1.0618,50.0000,0.7293,18.4120,72.0000,1.0561,50.0000,0.7171,17.4597,,,,,,
73.00,1.0764,50.0000,0.7268,18.4835,73.0000,1.0711,50.0000,0.7150,17.5628,,,,,,
74.00,1.0908,50.0000,0.7244,18.5558,74.0000,1.0857,50.0000,0.7130,17.6634,,,,,,
75.00,1.1048,50.0000,0.7221,18.6256,75.0000,1.1000,50.0000,0.7110,17.7566,,,,,,
76.00,1.1185,50.0000,0.7199,18.6950,76.0000,1.1139,50.0000,0.7091,17.8478,,,,,,
